experiment,image,question,answer
exp1_sd15_2050,Byur_00001_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00001_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00001_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00002_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00002_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00002_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00003_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00003_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00003_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00004_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00004_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00004_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00005_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00005_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00005_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00006_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00006_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00006_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00007_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00007_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00007_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00008_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00008_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00008_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00009_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00009_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00009_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Byur_00010_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Byur_00010_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Byur_00010_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
exp1_sd15_2050,Dutt_00001_.png,Does the image contain onomatopoeia text?,does the image contain onomatopoeia text?
exp1_sd15_2050,Dutt_00001_.png,What text is written in the image?,what text is written in the image?
exp1_sd15_2050,Dutt_00001_.png,What are the dominant colors of the water splash?,what are the dominant colors of the water splash?
